CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,DistinctProducts,TenureDays,AvgItemsPerOrder,is_suspicious,R_score,F_score,M_score,RFM_Score,RFM_Total,Segment
12347.0,2,7,4310.0,23.68131868131868,2458,103,367,351.1428571428572,0,5,4,5,545,14,Champion
12348.0,75,4,1797.24,57.97548387096774,2341,22,358,585.25,0,2,3,4,234,9,At Risk
12349.0,19,1,1757.55,24.076027397260276,631,73,19,631.0,0,4,1,4,414,9,Promising
12350.0,310,1,334.4,19.670588235294115,197,17,310,197.0,0,1,1,2,112,4,Lost Customers
12352.0,36,11,1545.41,16.267473684210525,470,59,297,42.72727272727273,0,3,5,4,354,12,Loyal Customer
12353.0,204,1,89.0,22.25,20,4,204,20.0,0,1,1,1,111,3,Lost Customers
12354.0,232,1,1079.4,18.610344827586207,530,58,232,530.0,0,1,1,4,114,6,Needs Attention
12355.0,214,1,459.4,35.33846153846154,240,13,214,240.0,0,1,1,2,112,4,Lost Customers
12356.0,23,3,2811.43,47.65135593220339,1591,53,326,530.3333333333334,0,4,3,5,435,12,Potential Loyalist
12357.0,33,1,6207.67,47.38679389312977,2708,131,33,2708.0,0,3,1,5,315,9,About to sleep
12358.0,2,2,1168.06,61.47684210526315,248,13,151,124.0,0,5,2,4,524,11,Potential Loyalist
12359.0,8,6,6245.53,24.58870078740157,1612,214,332,268.6666666666667,0,5,4,5,545,14,Champion
12360.0,52,3,2662.06,20.63612403100775,1165,105,201,388.3333333333333,0,3,3,5,335,11,Potential Loyalist
12361.0,287,1,189.9,18.99,91,10,287,91.0,0,1,1,1,111,3,Lost Customers
12362.0,3,13,5154.58,18.81233576642336,2212,201,296,170.15384615384616,0,5,5,5,555,15,Champion
12363.0,110,2,552.0,24.0,408,23,242,204.0,0,2,2,3,223,7,Needs Attention
12364.0,8,4,1313.1,15.448235294117646,1506,70,112,376.5,0,5,3,4,534,12,Potential Loyalist
12365.0,291,3,320.69,13.94304347826087,173,22,291,57.66666666666666,0,1,3,2,132,6,Needs Attention
12367.0,4,1,168.9,15.354545454545455,173,11,4,173.0,0,5,1,1,511,7,New Customer
12370.0,51,4,3545.69,21.231676646706585,2353,143,360,588.25,0,3,3,5,335,11,Potential Loyalist
12371.0,45,2,1887.96,29.96761904761905,591,63,60,295.5,0,3,2,4,324,9,Potential Loyalist
12372.0,72,3,1298.04,24.962307692307693,794,34,297,264.6666666666667,0,2,3,4,234,9,At Risk
12373.0,311,1,364.6,26.042857142857144,197,14,311,197.0,0,1,1,2,112,4,Lost Customers
12374.0,25,1,742.9300000000001,22.513030303030305,342,33,25,342.0,0,4,1,3,413,8,Promising
12375.0,3,3,455.42,25.301111111111112,177,14,98,59.0,0,5,3,2,532,10,Needs Attention
12377.0,315,2,1628.12,21.144415584415583,944,72,355,472.0,0,1,2,4,124,7,Needs Attention
12378.0,130,1,4008.62,18.30420091324201,2529,219,130,2529.0,0,2,1,5,215,8,Needs Attention
12379.0,82,3,850.29,20.73878048780488,406,39,170,135.33333333333334,0,2,3,3,233,8,At Risk
12380.0,22,5,2720.56,25.91009523809524,1126,77,186,225.2,0,4,4,5,445,13,Champion
12381.0,5,6,1803.96,19.823736263736265,783,70,120,130.5,0,5,4,4,544,13,Champion
12383.0,185,6,1839.31,18.3931,1529,84,352,254.83333333333331,0,1,4,4,144,9,At Risk
12384.0,29,3,566.16,18.872,121,26,122,40.333333333333336,0,4,3,3,433,10,Potential Loyalist
12386.0,338,2,401.9,40.19,354,10,367,177.0,0,1,2,2,122,5,Lost Customers
12388.0,16,6,2780.66,27.8066,1462,57,327,243.66666666666663,0,4,4,5,445,13,Champion
12390.0,80,1,549.84,17.1825,353,32,80,353.0,0,2,1,3,213,6,Needs Attention
12391.0,22,1,460.89,4.6089,300,92,22,300.0,0,4,1,2,412,7,New Customer
12393.0,72,4,1582.6,24.728125,816,47,333,204.0,0,2,3,4,234,9,At Risk
12394.0,64,2,1272.48,47.12888888888889,819,26,217,409.5,0,3,2,4,324,9,Potential Loyalist
12395.0,16,15,2998.28,18.857106918238998,2113,91,371,140.86666666666667,0,4,5,5,455,14,Champion
12397.0,36,2,2409.9,19.12619047619048,1263,110,135,631.5,0,3,2,5,325,10,Potential Loyalist
12398.0,46,1,1635.66,19.24305882352941,1394,85,46,1394.0,0,3,1,4,314,8,About to sleep
12399.0,119,4,1108.65,18.790677966101697,1178,47,262,294.5,0,2,3,4,234,9,At Risk
12401.0,303,1,84.3,16.86,11,5,303,11.0,0,1,1,1,111,3,Lost Customers
12402.0,323,1,225.6,20.509090909090908,94,11,323,94.0,0,1,1,1,111,3,Lost Customers
12403.0,50,2,409.7,68.28333333333333,95,5,50,47.5,0,3,2,2,322,7,About to sleep
12405.0,149,1,1710.39,31.67388888888889,857,54,149,857.0,0,2,1,4,214,7,Needs Attention
12406.0,22,3,3280.75,30.377314814814813,1809,92,184,603.0,0,4,3,5,435,12,Potential Loyalist
12407.0,50,5,1708.12,22.183376623376624,1416,57,264,283.2,0,3,4,4,344,11,Loyal Customer
12408.0,33,9,2842.57,25.15548672566372,1399,81,260,155.44444444444446,0,3,5,5,355,13,Loyal Customer
12409.0,79,7,11056.93,96.99061403508772,5543,91,183,791.8571428571429,0,2,4,5,245,11,At Risk
12410.0,301,3,681.0799999999999,24.32428571428571,209,26,309,69.66666666666667,0,1,3,3,133,7,At Risk
12412.0,75,3,1226.88,20.112786885245903,829,43,169,276.3333333333333,0,2,3,4,234,9,At Risk
